,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
994,36,Injury,25-06-2021 00:00,14.3,Eriumiyapattiankottai To Kamalanatham,Two Wheeler,Lorry,1,NA,NA,NA,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
995,17,Fatal,24-03-2021 00:00,14,Gengalapuram,Two Wheeler,Lorry,NA,NA,1,NA,1,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996,26,Injury,13-04-2021 00:00,13.3,Gengalapuram,Cyclist,Two Wheeler,1,NA,NA,NA,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,30,Injury,29-04-2021 00:00,22.45,Jarugu,Two Wheeler,Auto,1,NA,NA,NA,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,7,Injury,31-01-2021 00:00,11.3,Katamadu,Two Wheeler,Car,1,NA,NA,NA,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,33,Fatal,16-06-2021 00:00,0.3,Kattamdur,Self Fall,Lorry,NA,NA,1,NA,1,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,23,Fatal,22-04-2021 00:00,13.4,Odapallam,Self Fall,Four Wheeler,NA,NA,1,NA,1,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,12,Injury,24-02-2021 00:00,15,Oothupallam,Two Wheeler,Car,1,NA,NA,NA,0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,28,Fatal,22-04-2021 00:00,13.4,Oothupallam,Self Fall,Four Wheeler,NA,NA,1,NA,1,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,20,Injury,17-04-2021 00:00,9,Rettai Palam,Lorry,Lorry,1,NA,NA,NA,0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,3,Injury,07-01-2021 00:00,11.3,Salem Main Road,Lorry,Lorry,2,NA,NA,NA,0,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,9,Injury,11-02-2021 00:00,17.3,Sekkarapatti,Two Wheeler,Bus,2,NA,NA,NA,0,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1006,25,Injury,01-04-2021 00:00,17.45,T. Pudhur,Pedestrian,Lorry,NA,1,NA,NA,0,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,4,Injury,18-01-2021 00:00,15.45,T. Pudhur,Pedestrian,Car,1,NA,NA,NA,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
