,si_no,head,date,time,place,complainant_vehicle,opposite_vehicle,male_injury,female_injury,male_fatal,female_fatal,total_cases,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,male _fatal,...23,...24,...25
332,64,Simple,09-02-2014 00:00,17,"Anjaneyar pallam,
Thoppur to Mecheri road.
",Two Wheeler,Car,1,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,69,Simple,22-10-2014 00:00,11.3,"Anjaneyar temple
","Lorry

","Lorry

",1,NA,NA,NA,1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,48,Fatal,13-06-2014 00:00,3.3,"
Sanisanthai
","Lorry

","Pickup Van

",NA,NA,1,NA,1,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,61,Fatal,05-09-2017 00:00,7,Dharmapuri to Salem road.,Two Wheeler,"Lorry
",NA,NA,1,NA,1,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,62,Simple,06-09-2014 00:00,8.45,Gengalapuram,Pedestrian,Two Wheeler,1,NA,NA,NA,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,59,Simple,18-08-2014 00:00,13.3,"Nirmal chicken  centre, Thoppur","Two Wheeler 

",Two Wheeler,1,NA,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,6,Fatal,22-01-2014 00:00,18.3,"Kedikankuttai bridge.
",Self fall,Two Wheeler,NA,NA,1,NA,1,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,15,Simple,03-03-2014 00:00,9,"Kengalapuram water tank 
",Pedestrian,Two Wheeler,NA,1,NA,NA,1,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,71,Fatal,23-11-2014 00:00,7,Kurinchi Nagar,Two Wheeler,Car,1,NA,1,NA,2,3,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,20,Simple,14-11-2014 00:00,8.15,Kurinchi Nagar,Two Wheeler,Two Wheeler,2,NA,NA,NA,2,48,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,41,Simple,03-05-2014 00:00,20,"Madhaiyan hotel, Thoppur",Pedestrian,"TNSTC bus 

",1,NA,NA,NA,1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,75,Simple,23-12-2014 00:00,8,"Malluchettikottai
",Two Wheeler,Two Wheeler,1,NA,NA,NA,1,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,29,Simple,08-04-2014 00:00,11,Manickamputhru,Two Wheeler,"Auto


",1,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,9,Simple,06-02-2014 00:00,17.3,"
Bagalpatty.
",Pedestrian,Two Wheeler,2,NA,NA,NA,2,18,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,18,Simple,09-03-2014 00:00,10.45,"Aanjaneyar Temple

","car

","Taurus Lorry

",2,1,NA,NA,3,56,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,23,Simple,17-03-2017 00:00,7,"Aanjaneyar Temple

","car

","Lorry

",1,1,NA,NA,2,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,77,Simple,05-12-2014 00:00,0.3,"Aanjaneyar Temple

",Self fall,"lorry 
",2,NA,NA,NA,2,45,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,10,Simple,13-02-2014 00:00,22,"Aanjaneyar Temple

",Van,Unknown  Vechile,1,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,54,Simple,04-07-2014 00:00,11,"Aanjaneyar Temple

",Van,"lorry
 
",2,NA,NA,NA,2,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,33,Simple,19-04-2014 00:00,8,"Aanjaneyar Temple

",Self fall,Two Wheeler,1,NA,NA,NA,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,7,Simple,01-01-2014 00:00,6.3,"Aanjaneyar Temple

",Lorry,"Van

",1,NA,NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,12,Simple,23-02-2014 00:00,7,"Aanjaneyar Temple

",Self fall,"Cleaner of Lorry
",1,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,17,Simple,05-03-2014 00:00,22,"Aanjaneyar Temple

","Lorry
","Container Lorry


",1,NA,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,30,Fatal,14-04-2014 00:00,5,"Aanjaneyar Temple

",Two Wheeler,"Taurus Lorry
.

",NA,NA,1,NA,1,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,40,Simple,08-05-2014 00:00,11.4,"Aanjaneyar Temple

",Lorry,"TNSTC Bus

",1,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,21,Simple,13-03-2014 00:00,16.3,"Aanjaneyar Temple

",Self fall,"Trailer Lorry

",2,NA,NA,NA,2,20,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,32,Simple,20-04-2014 00:00,6.3,Bharath Petrol Bunk,"Van

","Lorry

",1,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,3,Simple,10-01-2014 00:00,22.3,"Near Dhanapal’s house, Thoppur
",Pedestrian,Unknown  Vechile,1,NA,NA,NA,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,74,Simple,22-12-2014 00:00,8,sorangappan pudhur.,"Two Wheeler

","private college bus 

",1,NA,NA,NA,1,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,14,Simple,20-02-2014 00:00,17,"
Kaligoundankottai
",Self fall,"Auto


",NA,2,NA,NA,2,NA,25,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,39,Fatal,06-05-2014 00:00,21,"Kattamedu

",Pedestrian,Un known vechile,NA,NA,1,NA,1,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,22,Simple,13-03-2014 00:00,17,"Kattamedu

",Self fall,Two Wheeler,1,NA,NA,NA,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,1,Simple,05-01-2014 00:00,6.45,"Kattamedu

",Passenger,Auto,NA,1,NA,NA,1,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,11,Simple,15-02-2014 00:00,2,"Kattamedu

","Lorry

","Lorry


",1,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,56,Simple,22-07-2014 00:00,6.3,Kurunji Nagar,Pedestrian,Two Wheeler,1,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,53,Simple,07-07-2014 00:00,12.15,Melkottavur,"Auto

","Tracktor

",NA,1,NA,NA,1,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,37,Simple,06-04-2014 00:00,19.3,Muniyappna temple,Two wheeler,"Lorry
",1,NA,NA,NA,1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,66,Simple,03-10-2014 00:00,13.3,"new colony,
Thoppur
",Two wheeler,"Van

",2,NA,NA,NA,2,22,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,27,Simple,16-03-2014 00:00,6,Pagalpadi,Two wheeler,Un known  tempo,1,NA,NA,NA,1,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,16,Fatal,05-03-2012 00:00,12.3,"Periya Yerikuttai
",Two wheeler,"Taurus Lorry

",NA,NA,1,NA,1,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,13,Simple,23-02-2014 00:00,13,Savulur,Self fall,Van,2,NA,NA,NA,2,29,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,35,Fatal,01-04-2014 00:00,21,Savulur,Self fall,Two Wheeler,NA,NA,1,NA,1,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,5,Simple,13-01-2014 00:00,22,"TASMAC shop, Thoppur",Cyclist,"van

",1,NA,NA,NA,1,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,44,Simple,01-05-2014 00:00,5.45,Thombarakampatti Bus stop,"lorry
","bus

",1,NA,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,24,Simple,17-03-2014 00:00,15,Thoppur Bridge,"Car

","car

",NA,3,NA,NA,3,NA,35,37,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,36,Fatal,04-04-2014 00:00,8.4,Thoppur junction road,Pedestrian,"Bus
",NA,NA,1,NA,1,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,19,Simple,10-03-2014 00:00,19.3,Toll Plaza,Pedestrian,"Unknown Car

",1,NA,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,46,Simple,04-06-2014 00:00,20.3,Vellakkal,"Two wheeler

","Car

",2,NA,NA,NA,2,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,76,Fatal,28-01-1900 02:54,20.55,Vellakkal,"Lorry

","Car

",NA,NA,1,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,68,Fatal,22-10-2014 00:00,19.3,Pagalpatti,Two Wheeler,Two Wheeler,NA,NA,1,NA,1,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,38,Simple,22-04-2014 00:00,23.3,Pagalpatti,Pedestrian,Two Wheeler,1,NA,NA,NA,1,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,34,Fatal,23-01-2014 00:00,17,Palayamputhur,Pedestrian,Car,NA,NA,1,NA,1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,70,Simple,01-10-2014 00:00,15.3,Palayamputhur,Pedestrian,Bus,1,NA,NA,NA,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,4,Simple,13-01-2014 00:00,18.3,Palayamputhur,Two  Wheeler,"Two wheeler

",1,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,58,Simple,14-08-2014 00:00,12.2,"Sani sandhai 

",Two Wheeler,Lorry,2,NA,NA,NA,2,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,51,Grives,17-06-2014 00:00,20.3,Sekkarapattu,Two Wheeler,"Tractor
",1,NA,NA,NA,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,43,Simple,20-05-2014 00:00,20.3,"
Dharmapuri to Salem road 
",Two Wheeler,lorry,1,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,2,Simple,09-01-2014 00:00,21.3,Thoppur bus stand,Pedestrian,"Van

",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,73,Simple,16-12-2014 00:00,17,Thoppur Chandiranallur Junction road,Two Wheeler,Two Wheeler,2,NA,NA,NA,2,16,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,57,Simple,08-08-2014 00:00,14,Thoppur Dharka car parking.,Pedestrian,"van 

",1,NA,NA,NA,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,47,Simple,08-04-2014 00:00,18.45,Thoppur forest,Passenger,Bus,1,NA,NA,NA,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,31,Simple,17-04-2014 00:00,12,Thoppur Kanvai,Two Wheeler,"lorry

",1,NA,NA,NA,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,52,Fatal,06-06-2014 00:00,9,Thoppur Pudur,Two Wheeler,"lorry 

",NA,NA,1,NA,1,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,63,Simple,11-09-2014 00:00,8,Thoppur toll plaza,Passenger,"bus
",1,NA,NA,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,55,Simple,14-04-2014 00:00,13.3,Vettai goundan kottai,Pedestrian,"lorry
 
",1,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,49,Grives,15-06-2014 00:00,22.3,Vanniyar Thesam,"Van
",Lorry,1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,50,Fatal,17-06-2014 00:00,18.3,Vellakkal,Two Wheeler,"van
 
",NA,NA,1,NA,1,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,65,Fatal,06-09-2014 00:00,11.3,Vellakkal,Self fall,Two Wheeler,NA,NA,1,NA,1,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,28,Fatal,07-04-2014 00:00,19,"Vinayagar Temple,
Sundiranallur Kattuvalavu
",Two Wheeler,Tractor,NA,NA,1,NA,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,8,Simple,25-01-2014 00:00,21.2,Unknown,Pedestrian,Two Wheeler,1,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,50,Simple,04-07-2015 00:00,4.3,Vellakkal junction road,two wheeler,Two Wheeler,1,1,NA,NA,2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,29,Simple,12-04-2015 00:00,8.3,Vellakkal junction road,two wheeler,lorry,1,1,NA,NA,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,28,Fatal,01-04-2015 00:00,21,Vellakkal junction road,Pedestrian,car,NA,NA,1,NA,1,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,45,Fatal,29-05-2015 00:00,22,Thombarakampatti junction road,Pedestrian,unknown,NA,NA,NA,1,1,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,2,Fatal,08-01-2015 00:00,13.3,Rajabojanam Hotel,lorry,car,NA,NA,2,NA,2,NA,35,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,20,Simple,28-02-2015 00:00,19.15,Palayamputhur Jn,two wheeler,lorry,1,1,NA,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,5,Simple,18-01-2015 00:00,14,Palaiyampudur Junction Road,two wheeler,car,1,1,NA,NA,2,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,39,Simple,08-05-2015 00:00,18.3,Pakalpati bus stop,two wheeler,Two Wheeler,1,1,NA,NA,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,69,Fatal,13-10-2015 00:00,0.15,Nearby Vellakkal NH road turn,Passenger,two wheeler,1,1,1,NA,3,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,86,Simple,04-12-2015 00:00,1,X road Vellakkal,lorry,lorry,1,1,NA,NA,2,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,88,Simple,07-12-2015 00:00,10,X road Thoppur,Self fall,Two Wheeler,2,2,NA,NA,4,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,91,Simple,08-12-2015 00:00,14,X road kattamedu,Self fall,lorry,1,1,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,97,Simple,17-12-2015 00:00,16.1,X raod Vellakal,two wheeler,"lorry 

",1,1,NA,NA,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,96,Simple,16-12-2015 00:00,19,X raod Bus stop Jarugu,Pedestrian,Two Wheeler,1,NA,NA,NA,1,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,19,Fatal,28-02-2015 00:00,19,Vellakkal.,Unknown,Unknown,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,33,Grives,01-05-2015 00:00,23,Vellakkal junction road,lorry,lorry,1,1,NA,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,59,Fatal,07-09-2015 00:00,14.3,Vellakkal JN road,Self fall,Two Wheeler,NA,NA,1,NA,1,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,67,Simple,02-10-2015 00:00,8.15,Vellakkal bus stop,two wheeler,car,2,2,NA,NA,4,33,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,1,Fatal,01-01-2015 00:00,22,Vellakkal bus stop,Pedestrian,car,NA,NA,1,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,56,Simple,10-08-2015 00:00,7.3,Tollgate Thomprakampatti,Pedestrian,car,1,1,NA,NA,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,6,Simple,18-01-2015 00:00,20.45,Tollgate,Self fall,car,1,1,NA,NA,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,15,Simple,18-02-2015 00:00,16.3,river bridge,two wheeler,car,1,1,NA,NA,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,21,Fatal,02-03-2015 00:00,18.3,check post,car,lorry,2,1,1,NA,4,50,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,3,Simple,15-01-2015 00:00,10,Police quarters,two wheeler,two wheeler,1,1,NA,NA,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,22,Fatal,03-03-2015 00:00,17.3,Kattamedu,two wheeler,lorry,NA,NA,1,NA,1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,8,Simple,31-01-2015 00:00,16.3,kattamedu,car,car,2,1,NA,NA,3,60,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,70,Simple,18-10-2015 00:00,8.3,Kanavai over bridge,Passenger,van,6,2,NA,NA,8,50,40,35,48,39,35,NA,NA,NA,NA,NA,NA,NA,NA
429,53,Simple,12-07-2015 00:00,23,commercial check post,Passenger,van,3,3,NA,NA,6,34,32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,18,Simple,24-02-2015 00:00,4,Anjaneyar temple,lorry,bus,1,1,NA,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,48,Simple,11-06-2015 00:00,13,Anjaneyar temple,car,lorry,2,2,NA,NA,4,34,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,40,Simple,09-05-2015 00:00,18.3,Anjaneyar temple,lorry,lorry,1,1,NA,NA,2,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,14,Simple,10-02-2015 00:00,8,Thomrakampatti bus stop,Passenger,van,1,1,NA,NA,2,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,23,Simple,05-03-2015 00:00,21.45,Thomparagampatty junction road,Lorry,lorry,2,2,NA,NA,4,24,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,76,Simple,04-10-2015 00:00,16.4,Thombarakampatti bus stop,bus,lorry,1,1,NA,NA,2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,26,Fatal,22-03-2015 00:00,20,Thombaragampatti junction road,two wheeler,bus,NA,NA,1,NA,1,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,27,Fatal,22-03-2015 00:00,21.3,Sountharya hotel Palayamputhur junction road,two wheeler,Unknown,NA,NA,1,NA,1,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,74,Simple,02-10-2015 00:00,16,Seesampatty X road,two wheeler,car,2,2,NA,NA,4,49,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,17,Simple,22-02-2015 00:00,16,Savulur Salem main road,two wheeler,two wheeler,1,1,NA,NA,2,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,93,Fatal,08-12-2015 00:00,18.45,Savulur bus stop,Pedestrian,Unknown,NA,NA,1,NA,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,49,Simple,07-04-2015 00:00,7.15,Sadhaiyankottai,two wheeler,bus,1,1,NA,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,55,Simple,29-07-2015 00:00,5,Rajendiran house,two wheeler,lorry,1,1,NA,NA,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,94,Simple,11-11-2015 00:00,18.3,Police quarters Thoppur,two wheeler,Two Wheeler,1,1,NA,NA,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,7,Simple,25-01-2015 00:00,7.45,Palayampudhur JN road,two wheeler,unknown,1,1,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,77,Simple,08-11-2015 00:00,23,Palayampudhur bus stop,two wheeler,lorry,1,1,NA,NA,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,37,Fatal,10-05-2015 00:00,2,Pakalahalli PACB,Unknown,Unknown,NA,NA,NA,1,1,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,10,Simple,02-02-2015 00:00,18,Pachiyappan house Thombarakampatti.,two wheeler,car,1,1,NA,NA,2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,64,Simple,29-09-2015 00:00,6.15,PACB Bagalpatti,Pedestrian,Two Wheeler,1,1,NA,NA,2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,30,Fatal,13-04-2015 00:00,17.3,Muniyappan house,Self fall,car,NA,NA,1,NA,1,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,84,Grives,29-11-2015 00:00,17,Mariyamman kovil jarugu colony,two wheeler,Two Wheeler,1,1,NA,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,34,Simple,02-05-2015 00:00,19,Kurinji Nagar junction,two wheeler,Two Wheeler,1,1,NA,NA,2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,4,Simple,17-01-2015 00:00,18,Kottavur Samichettipatty,two wheeler,Two Wheeler,1,1,NA,NA,2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,79,Simple,13-11-2015 00:00,13.3,Kengalapuram bus stop,Pedestrian,two wheeler,1,1,NA,NA,2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,38,Simple,10-05-2015 00:00,19.3,Kanavai bridge,two wheeler,Two Wheeler,3,3,NA,NA,6,30,45,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,16,Simple,21-02-2015 00:00,21.45,kattamedu,Passenger,lorry,2,2,NA,NA,4,21,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,41,Fatal,14-05-2015 00:00,14.2,Kattamedu,Passenger,bus,NA,NA,1,NA,1,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,63,Simple,16-09-2015 00:00,20.3,Iyarkuttai,Scooty,Unknown,1,1,NA,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,42,Simple,15-05-2015 00:00,20,HP petrol bunk Thoppur,Self fall,lorry,1,1,NA,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,25,Simple,13-03-2015 00:00,20.3,Hogenakkal water over tank Savulur,two wheeler,Two Wheeler,2,1,NA,NA,3,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,32,Simple,26-04-2015 00:00,0.3,Highways department office,lorry,lorry,1,1,NA,NA,2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,46,Simple,29-05-2015 00:00,9,GH Palayamputhur,Pedestrian,unknown,1,1,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,9,Fatal,31-01-2015 00:00,17.1,Double bridge,Passenger,bus,2,1,1,NA,4,35,45,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,58,Simple,24-08-2015 00:00,9.45,double bridge,Self fall,car,3,3,NA,NA,6,52,57,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,60,Simple,09-09-2015 00:00,19,complainant’s house Bagalpatti,Pedestrian,car,2,2,NA,NA,4,55,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,87,Simple,05-12-2015 00:00,1,check post,lorry,lorry,1,1,NA,NA,2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,43,Simple,19-05-2015 00:00,3.3,check post,Self fall,lorry,1,1,NA,NA,2,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,92,Simple,23-11-2015 00:00,1,check post,Self fall,car,1,1,NA,NA,2,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,89,Simple,05-12-2015 00:00,19.3,bus stop Vellakal,Self fall,Bus,1,1,NA,NA,2,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,61,Simple,10-09-2015 00:00,1.15,bus stop Palaiyampudur,Self fall,car,1,1,NA,NA,2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,78,Fatal,09-11-2015 00:00,14,big lake Jarugu to Barigam road,two wheeler,Two Wheeler,NA,NA,1,NA,1,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,52,Simple,14-07-2015 00:00,8,Bagalpatti bus stop,Pedestrian,Two Wheeler,1,1,NA,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,12,Simple,06-02-2015 00:00,5,Bagalpatti,Passenger,car,2,2,NA,NA,4,53,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
